DATE,S4248SM144NCEN
1992-01-01,2892
1992-02-01,3511
1992-03-01,3951
1992-04-01,4410
1992-05-01,3899
1992-06-01,3559
1992-07-01,3330
1992-08-01,2554
1992-09-01,2345
1992-10-01,2383
1992-11-01,2228
1992-12-01,2806
1993-01-01,3611
1993-02-01,3965
1993-03-01,4216
1993-04-01,4256
1993-05-01,4052
1993-06-01,3618
1993-07-01,3632
1993-08-01,3116
1993-09-01,2387
1993-10-01,2490
1993-11-01,2618
1993-12-01,3234
1994-01-01,3600
1994-02-01,4035
1994-03-01,4301
1994-04-01,4609
1994-05-01,4333
1994-06-01,4081
1994-07-01,3534
1994-08-01,3001
1994-09-01,2555
1994-10-01,2767
1994-11-01,2856
1994-12-01,3614
1995-01-01,3579
1995-02-01,4423
1995-03-01,4643
1995-04-01,5200
1995-05-01,4741
1995-06-01,4324
1995-07-01,3753
1995-08-01,3159
1995-09-01,3043
1995-10-01,2630
1995-11-01,2833
1995-12-01,3719
1996-01-01,3695
1996-02-01,4492
1996-03-01,4700
1996-04-01,4939
1996-05-01,4897
1996-06-01,4678
1996-07-01,4233
1996-08-01,3339
1996-09-01,3120
1996-10-01,3959
1996-11-01,3303
1996-12-01,3599
1997-01-01,4166
1997-02-01,4765
1997-03-01,5081
1997-04-01,5211
1997-05-01,5085
1997-06-01,4697
1997-07-01,4018
1997-08-01,3820
1997-09-01,3469
1997-10-01,3491
1997-11-01,3263
1997-12-01,4067
1998-01-01,4173
1998-02-01,5036
1998-03-01,5540
1998-04-01,5706
1998-05-01,5384
1998-06-01,5059
1998-07-01,4369
1998-08-01,3869
1998-09-01,4217
1998-10-01,3801
1998-11-01,3625
1998-12-01,3949
1999-01-01,4739
1999-02-01,5567
1999-03-01,5667
1999-04-01,5289
1999-05-01,5509
1999-06-01,5145
1999-07-01,4166
1999-08-01,4200
1999-09-01,3708
1999-10-01,3512
1999-11-01,4435
1999-12-01,4345
2000-01-01,4960
2000-02-01,5450
2000-03-01,5906
2000-04-01,6325
2000-05-01,5533
2000-06-01,5305
2000-07-01,4893
2000-08-01,4246
2000-09-01,4080
2000-10-01,4243
2000-11-01,4217
2000-12-01,4750
2001-01-01,5269
2001-02-01,5822
2001-03-01,6202
2001-04-01,6326
2001-05-01,6387
2001-06-01,5056
2001-07-01,5056
2001-08-01,4372
2001-09-01,4302
2001-10-01,4545
2001-11-01,4862
2001-12-01,5327
2002-01-01,5864
2002-02-01,6064
2002-03-01,6680
2002-04-01,6764
2002-05-01,6254
2002-06-01,6044
2002-07-01,5318
2002-08-01,5152
2002-09-01,4581
2002-10-01,4492
2002-11-01,4654
2002-12-01,5304
2003-01-01,5895
2003-02-01,6166
2003-03-01,6597
2003-04-01,6576
2003-05-01,6237
2003-06-01,6236
2003-07-01,5772
2003-08-01,5302
2003-09-01,4831
2003-10-01,4855
2003-11-01,4921
2003-12-01,5683
2004-01-01,6173
2004-02-01,7180
2004-03-01,7112
2004-04-01,6980
2004-05-01,6671
2004-06-01,6450
2004-07-01,5567
2004-08-01,5549
2004-09-01,4866
2004-10-01,4994
2004-11-01,5021
2004-12-01,5984
2005-01-01,6450
2005-02-01,6755
2005-03-01,6954
2005-04-01,7428
2005-05-01,6878
2005-06-01,6317
2005-07-01,6355
2005-08-01,5416
2005-09-01,5547
2005-10-01,5122
2005-11-01,5574
2005-12-01,6223
2006-01-01,6650
2006-02-01,7171
2006-03-01,7278
2006-04-01,7067
2006-05-01,7423
2006-06-01,6595
2006-07-01,6249
2006-08-01,5914
2006-09-01,5617
2006-10-01,5458
2006-11-01,6133
2006-12-01,6486
2007-01-01,6962
2007-02-01,7412
2007-03-01,7968
2007-04-01,7475
2007-05-01,7438
2007-06-01,6805
2007-07-01,6025
2007-08-01,5608
2007-09-01,5588
2007-10-01,5715
2007-11-01,6592
2007-12-01,6784
2008-01-01,7340
2008-02-01,7504
2008-03-01,7888
2008-04-01,8317
2008-05-01,7337
2008-06-01,7222
2008-07-01,6956
2008-08-01,6421
2008-09-01,6389
2008-10-01,6137
2008-11-01,6535
2008-12-01,6928
2009-01-01,7550
2009-02-01,7703
2009-03-01,8279
2009-04-01,8148
2009-05-01,7818
2009-06-01,7700
2009-07-01,6801
2009-08-01,6697
2009-09-01,6527
2009-10-01,6514
2009-11-01,6478
2009-12-01,7240
2010-01-01,8095
2010-02-01,7776
2010-03-01,8327
2010-04-01,8554
2010-05-01,8006
2010-06-01,7733
2010-07-01,7358
2010-08-01,6729
2010-09-01,6605
2010-10-01,6610
2010-11-01,6988
2010-12-01,7850
2011-01-01,7951
2011-02-01,8323
2011-03-01,8816
2011-04-01,8386
2011-05-01,8131
2011-06-01,7669
2011-07-01,7246
2011-08-01,6869
2011-09-01,6882
2011-10-01,6772
