CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,23,78,38
2,Female,19,116,88
3,Female,35,59,18
4,Female,40,120,27
5,Female,19,96,41
6,Female,29,72,72
7,Female,39,34,92
8,Female,54,72,74
9,Male,37,126,17
10,Male,56,103,62
11,Female,41,71,29
12,Male,65,116,58
13,Male,37,91,70
14,Female,18,82,78
15,Female,18,133,22
16,Female,34,92,6
17,Female,18,111,26
18,Female,69,106,39
19,Female,62,66,12
20,Male,47,51,99
21,Female,58,22,14
22,Male,64,58,22
23,Female,20,112,51
24,Female,63,122,23
25,Male,28,19,48
26,Female,41,132,71
27,Female,39,83,50
28,Male,61,45,89
29,Female,62,59,13
30,Male,43,23,85
31,Female,30,120,10
32,Female,18,46,55
33,Male,41,47,9
34,Female,27,81,79
35,Male,52,44,52
36,Male,41,128,2
37,Male,45,90,25
38,Female,53,43,13
39,Female,33,17,98
40,Male,57,104,51
41,Female,33,71,58
42,Female,34,44,34
43,Female,68,23,35
44,Male,32,40,3
45,Female,33,16,59
46,Male,32,76,70
47,Female,51,17,48
48,Female,28,60,64
49,Male,18,82,19
50,Female,32,39,67
51,Male,43,65,82
52,Female,68,27,73
53,Male,21,117,76
54,Female,60,58,5
55,Female,22,49,67
56,Female,52,69,11
57,Male,30,101,94
58,Male,27,23,68
59,Male,28,16,69
60,Female,35,75,1
61,Male,51,132,91
62,Male,56,55,92
63,Male,58,58,63
64,Male,59,78,29
65,Male,67,45,82
66,Male,40,122,12
67,Male,24,61,77
68,Male,56,16,41
69,Male,20,110,2
70,Male,29,96,37
71,Female,24,91,45
72,Female,66,124,80
73,Male,43,83,48
74,Female,50,72,24
75,Female,54,120,99
76,Male,65,58,22
77,Male,32,88,11
78,Male,19,70,58
79,Female,58,57,46
80,Male,24,103,29
81,Female,49,48,35
82,Male,21,115,15
83,Female,37,44,60
84,Female,67,85,95
85,Male,53,84,42
86,Male,49,132,43
87,Female,45,69,80
88,Female,30,81,74
89,Male,18,27,49
90,Male,52,17,64
91,Female,65,40,32
92,Male,47,71,64
93,Female,53,38,2
94,Male,42,67,24
95,Male,33,84,87
96,Male,36,57,66
97,Female,18,74,38
98,Male,22,72,31
99,Female,68,63,26
100,Male,39,56,29
101,Female,41,90,67
102,Female,60,127,78
103,Male,62,114,25
104,Female,69,80,48
105,Female,54,25,65
106,Female,53,117,53
107,Female,53,112,67
108,Male,21,104,90
109,Male,53,32,18
110,Male,69,99,9
111,Female,35,114,38
112,Female,67,118,87
113,Male,33,66,21
114,Male,58,60,65
115,Female,35,58,21
116,Male,39,36,27
117,Male,19,67,70
118,Female,38,73,44
119,Male,53,108,28
120,Female,61,128,45
121,Male,56,121,17
122,Female,64,44,40
123,Female,56,22,3
124,Female,46,112,76
125,Female,43,71,76
126,Female,38,125,66
127,Male,34,87,46
128,Male,33,129,86
129,Male,48,34,87
130,Female,68,118,30
131,Male,26,39,69
132,Female,48,33,9
133,Female,31,19,85
134,Male,66,89,11
135,Female,54,93,69
136,Male,19,86,99
137,Female,69,97,91
138,Female,65,101,66
139,Male,63,41,88
140,Female,31,54,31
141,Male,50,110,33
142,Female,52,40,39
143,Male,56,41,94
144,Female,64,76,46
145,Male,68,97,37
146,Male,37,64,92
147,Female,19,56,60
148,Male,68,43,31
149,Female,58,53,11
150,Female,36,74,87
151,Male,54,55,2
152,Male,35,47,27
153,Male,33,97,99
154,Male,21,115,2
155,Male,29,97,21
156,Female,46,111,58
157,Male,24,125,5
158,Female,31,30,52
159,Male,29,37,45
160,Male,52,21,85
161,Male,22,40,93
162,Female,34,110,20
163,Male,59,26,61
164,Female,49,86,38
165,Female,27,19,20
166,Female,60,120,25
167,Male,34,106,2
168,Female,22,131,32
169,Male,62,83,26
170,Female,59,63,70
171,Male,26,40,41
172,Female,66,19,67
173,Male,50,36,97
174,Male,53,93,1
175,Male,53,27,51
176,Female,35,42,5
177,Female,26,47,13
178,Male,46,121,19
179,Female,67,37,12
180,Female,31,111,48
181,Female,42,121,25
182,Female,32,32,57
183,Female,23,128,35
184,Female,59,131,76
185,Female,46,44,94
186,Male,32,40,5
187,Male,46,30,98
188,Female,21,91,22
189,Male,35,53,77
190,Male,67,47,57
191,Male,66,40,47
192,Female,61,62,54
193,Female,56,79,3
194,Female,33,127,53
195,Female,28,52,84
196,Female,31,16,31
197,Male,20,127,69
198,Female,68,20,88
199,Male,67,60,33
200,Female,59,64,72
